Rqt,Priority,Function,Requirement
710805,Medium,,Generate exception reports after time input that will capture leave events such as: comp time taken in the period.
,,,"Section:HRP-Leave Management, Inquiry and Reporting (13 Reqs)"
710806,High,,Generate an attendance report as defined by the end user.
710807,Medium,,Generate an employee availability report by pay period.
710808,High,,"Produce a report each pay period listing all employees' sick, annual, and other leave balances (Leave Balance Report)."
710809,Medium,,"Produce a report of employees due back from leave (this report should be produced based on user specified time period before  an employee returns), including type of leave and type of end date (return to work, re-evaluate, etc.)."
710810,Medium,,Produce a leave usage report by pay period or other user-specified period by employee by leave type.
710811,Medium,,"Generate a statistical leave analysis report by leave type, total hours used, average hours used, and the cost of leave used  based on a user-specified time intervals."
710812,Medium,,Produce standard form letters for qualified FMLA employees and/or employees qualified for medical leave without pay.
710813,Medium,,"Generate a report that details scheduled hours, time worked, leave usages, leave balances, etc., by day within pay period for  employees, unit level, division level, and state-wide."
,,,"Section:HRP-Leave Management, Self-Service (13 Reqs)"
710814,Medium,,"Allow employees to view their leave balances, by leave type, including carry over balances."
710815,Medium,,Allow employees to view their leave accruals.
